,REACTOME_SIGNALING_BY_ERBB4,REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION,PID_HIF1A_PATHWAY,PID_LYMPH_ANGIOGENESIS_PATHWAY,KEGG_PHENYLALANINE_METABOLISM,REACTOME_INHIBITION_OF_INSULIN_SECRETION_BY_ADRENALINE_NORADRENALINE,REACTOME_DEADENYLATION_OF_MRNA,REACTOME_SIGNALING_BY_CONSTITUTIVELY_ACTIVE_EGFR,PID_NFAT_3PATHWAY,PID_NFAT_TFPATHWAY
353,,22150024,,33664862,16899941,35070056,,33861365,,
354,,22143345,,33662598,16886705,35069859,,33859515,,
355,,22131441,,33661709,16844097,35069452,,33854754,,
356,,22101912,,33658601,16842480,35069451,,33852196,,
357,,22075494,,33655322,16796707,35069434,,33851953,,
358,,22069263,,33651121,16785606,35068934,,33847269,,
359,,22067097,,33650820,16759103,35068334,,33837913,,
360,,22004710,,33647254,16751163,35068192,,33834419,,
361,,21979999,,33639232,16731836,35067907,,33833077,,
362,,21961526,,33637772,16718465,35067899,,33832522,,
363,,21945815,,33636209,16684121,35067816,,33831052,,
364,,21919942,,33631120,16683187,35067740,,33830688,,
365,,21902832,,33629304,16644666,35067162,,33829436,,
366,,21896852,,33628832,16639877,35067011,,33827803,,
367,,21843632,,33627712,16620416,35067010,,33827531,,
368,,21839831,,33623636,16620272,35066986,,33824908,,
369,,21816064,,33621940,16618980,35066056,,33814397,,
370,,21806668,,33618724,16614412,35065847,,33812735,,
371,,21804221,,33616665,16595936,35065677,,33796252,,
372,,21794205,,33613446,16510379,35065623,,33792669,,
373,,21767572,,33609510,16506273,35065504,,33790859,,
374,,21752197,,33607073,16443858,35064693,,33786273,,
375,,21747057,,33606153,16418160,35064406,,33781208,,
376,,21697998,,33602182,16396514,35064400,,33780924,,
377,,21655098,,33601096,16363700,35063596,,33780903,,
378,,21654148,,33599552,16336780,35062427,,33778934,,
379,,21644000,,33599110,16298866,35062090,,33778153,,
380,,21636306,,33596257,16221230,35062059,,33775972,,
381,,21585014,,33596041,16214362,35061820,,33775157,,
382,,21538458,,33595499,16214255,35060126,,33772856,,
383,,21535124,,33594895,16201069,35059918,,33769679,,
384,,21497647,,33591858,16178991,35059395,,33767064,,
385,,21493893,,33588607,16176335,35059270,,33766697,,
386,,21455862,,33584541,16164664,35059269,,33764251,,
387,,21411507,,33581844,16129917,35059268,,33763380,,
388,,21302582,,33581374,16123472,35059263,,33760450,,
389,,21282495,,33581257,16023099,35059259,,33756310,,
390,,21207007,,33576890,16002803,35059257,,33752999,,
391,,22550873,,33576819,15986773,35059244,,33752759,,
392,,21147644,,33575886,15981944,35059243,,33752319,,
393,,21144973,,33572905,15933636,35059072,,33751403,,
394,,21063772,,33571295,15902547,35058312,,33746450,,
395,,21062351,,33563874,15871845,35057768,,33745995,,
396,,20959005,,33563731,15855578,35057594,,33744399,,
397,,20957341,,33559843,15855169,35057577,,33743083,,
398,,20923501,,33559819,15807992,35057560,,33741351,,
399,,20922870,,33552282,15807285,35057557,,33740899,,
400,,20846161,,33552063,15779435,35057547,,33736882,,
401,,20728477,,33552057,15779426,35057540,,33735863,,
402,,20676805,,33549594,15779419,35057513,,33726706,,
403,,20654063,,33545851,15758246,35057510,,33725985,,
404,,20608150,,33545836,15724236,35057487,,33722396,,
405,,20560685,,33532586,15696011,35057448,,33720983,,
406,,20522647,,33529593,15685854,35056941,,33716291,,
407,,20477311,,33524559,15660732,35056861,,33715620,,
408,,20461356,,33522573,15660195,35056780,,33715338,,
409,,20425066,,33520826,15569593,35056765,,33713332,,
410,,20380627,,33517291,15563878,35056417,,33711960,,
411,,20370652,,33515594,15551454,35056318,,33707611,,
412,,20308746,,33513084,15533050,35056315,,33706754,,
413,,20308741,,33509565,15505010,35056163,,33705752,,
414,,20213314,,33508920,15479218,35055468,,33694184,,
415,,20211690,,33505469,15389298,35055431,,33688855,,
416,,20188823,,33504680,15375790,35055382,,33685340,,
417,,20144584,,33499698,15351795,35055338,,33682388,,
418,,20098759,,33498045,15347061,35055081,,33677699,,
419,,23082487,,33490120,15325671,35054938,,33674951,,
420,,19959756,,33486648,15324515,35054926,,33668851,,
421,,19924780,,33479582,15317602,35054924,,33666270,,
422,,19881493,,33478573,15287927,35054888,,33665685,,
423,,19817793,,33475906,15270800,35054822,,33663074,,
424,,19812703,,33471572,15265763,35054422,,33660924,,
425,,19794167,,33470281,15255786,35054078,,33659978,,
426,,19768936,,33463593,15222748,35053127,,33657115,,
427,,19768736,,33463589,15200747,35052794,,33656967,,
428,,19641635,,33463234,15161773,35052752,,33656638,,
429,,19617631,,33458899,15161767,35052633,,33649427,,
430,,19602580,,33453677,15161764,35052597,,33642873,,
431,,19593734,,33453370,15159644,35052470,,33637202,,
432,,19592619,,33453061,15149326,35052298,,33634308,,
433,,19581337,,33445943,15106356,35051881,,33631184,,
434,,19567529,,33444982,15095037,35051813,,33628839,,
435,,19542260,,33441910,15083812,35051497,,33625802,,
436,,19505370,,33438363,15058753,35051421,,33619120,,
437,,19484197,,33434220,15034195,35050311,,33618585,,
438,,19472957,,33427267,15027096,35049442,,33612680,,
439,,19367193,,33422138,15002939,35049378,,33611623,,
440,,19317217,,33421732,15002927,35049196,,33609510,,
441,,19272793,,33421467,15000767,35049031,,33606920,,
442,,19223597,,33420855,14984437,35049001,,33600406,,
443,,19175688,,33420422,14974337,35048962,,33599924,,
444,,19094082,,33419373,14748619,35048602,,33599678,,
445,,19003114,,33416127,14746575,35048556,,33597203,,
446,,18843095,,33414994,14720127,35048283,,33588611,,
447,,18753677,,33413110,14719796,35048126,,33586119,,
448,,18753253,,33411234,14717967,35048037,,33585042,,
449,,18709137,,33407796,14633839,35047125,,33582932,,
450,,18685806,,33396192,14633838,35047118,,33572844,,
451,,18625446,,33395587,14603368,35046895,,33570456,,
452,,18454665,,33395426,14602757,35046817,,33567895,,
453,,18397274,,33394935,14570054,35046156,,33564514,,
454,,18339265,,33389934,14526583,35046013,,33564428,,
455,,18304222,,33381040,12965106,35045841,,33560052,,
456,,18252916,,33376178,12951631,35045807,,33558151,,
457,,18220646,,33371648,12941780,35045332,,33548908,,
458,,18217985,,33371646,12940610,35045227,,33548063,,
459,,18053324,,33370067,12918894,35045184,,33546360,,
460,,18004065,,33369638,12885691,35045105,,33541776,,
461,,17900558,,33369138,12879789,35044536,,33535733,,
462,,17890854,,33361521,12877090,35044446,,33524984,,
463,,17804249,,33354192,12877088,35043952,,33520848,,
464,,17762145,,33351403,12832316,35043419,,33520463,,
465,,17726733,,33352227,12832314,35043173,,33513399,,
466,,17691973,,33346475,12766094,35042934,,33508124,,
467,,17588956,,33339897,12765847,35042735,,33505536,,
468,,17570878,,33339050,12764579,35042457,,33503029,,
469,,17488106,,33338749,12711836,35041336,,33502090,,
470,,17478459,,33332304,12707268,35041127,,33492590,,
471,,17347928,,33328159,12693123,35040554,,33492299,,
472,,17321518,,33327730,12674176,35040414,,33491430,,
473,,17289084,,33327053,12625415,35040301,,33490185,,
474,,17279487,,33326191,12616669,35039874,,33484208,,
475,,17267584,,33326183,12615243,35039662,,33482440,,
476,,17239603,,33325098,12610012,35039353,,33479412,,
477,,17047923,,33323458,12590015,35039346,,33479188,,
478,,17023529,,33321883,12489381,35039332,,33478431,,
479,,16986170,,33321634,12479880,35038890,,33477404,,
480,,16940432,,33320223,12469362,35038311,,33474707,,
481,,16928677,,33319548,12469228,35037631,,33471741,,
482,,16863987,,33315828,12462297,35037393,,33471713,,
483,,16765720,,33312210,12459269,35037196,,33471254,,
484,,16733410,,33304318,12453951,35037160,,33465808,,
485,,16684605,,33302426,12422705,35036572,,33463494,,
486,,16644678,,33295943,12404197,35035440,,33461925,,
487,,16624439,,33293476,12402899,35035357,,33460313,,
488,,16574760,,33282960,12387079,35034940,,33449936,,
489,,16538969,,33274237,12387022,35034636,,33443971,,
490,,16464164,,33268735,12387020,35034504,,33441623,,
491,,16458664,,33262587,12365816,35033801,,33441513,,
492,,23074483,,33259831,12242462,35033175,,33439998,,
493,,16260352,,33258323,12213867,35033161,,33435948,,
494,,16227462,,33255074,12196422,35033094,,33426390,,
495,,16227461,,33253664,12162376,35033005,,33419932,,
496,,16202877,,33251135,12154484,35032674,,33417741,,
497,,16197821,,33249991,12145150,35032624,,33413395,,
498,,15974415,,33238687,12134432,35032569,,33407242,,
499,,15964614,,33227645,12109778,35032562,,33400357,,
500,,15958271,,33227274,12107753,35032312,,33396516,,
501,,15942119,,33221752,12071108,35032247,,33396145,,
502,,15939814,,33215898,12067237,35031999,,33394543,,
503,,15862893,,33214136,12047396,35031057,,33393899,,
504,,15860929,,33204295,12040862,35030973,,33389518,,
505,,15857516,,33195703,12032274,35029940,,33389459,,
506,,15808783,,33194721,12010187,35029901,,33382965,,
507,,15794660,,33194137,11976159,35029882,,33380151,,
508,,15777748,,33191800,11973922,35029513,,33378070,,
509,,15747323,,33188599,11916909,35029244,,33374341,,
510,,15746699,,33183445,11902096,35028650,,33371732,,
511,,15723279,,33181170,11896938,35028470,,33364086,,
512,,15680119,,33179140,11872380,35027795,,33359778,,
513,,15647437,,33176621,11823724,35027504,,33359753,,
514,,15638292,,33176446,11809285,35027384,,33358080,,
515,,15610231,,33172616,11805432,35026882,,33351059,,
516,,15589968,,33166863,11794096,35025756,,33343270,,
517,,15531378,,33164859,11739446,35023956,,33340064,,
518,,15528045,,33162978,11728565,35023058,,33340043,,
519,,15528036,,33162888,19667581,35022377,,33338413,,
520,,15518798,,33160752,11724096,35021971,,33338051,,
521,,15238996,,33155187,11703437,35021057,,33334874,,
522,,15228097,,33154424,11697294,35020844,,33328269,,
523,,15225139,,33151576,11600556,35019844,,33324342,,
524,,15223067,,33144606,11585005,35019739,,33323477,,
525,,15155556,,33142041,11563410,35019122,,33323354,,
526,,15141093,,33141788,11549192,35018767,,33319487,,
527,,15124909,,33139557,11547215,35018256,,33319467,,
528,,15056984,,33135824,11527989,35018032,,33316751,,
529,,15039298,,33132433,11523901,35017411,,33316282,,
530,,15005509,,33131308,11499153,35016570,,33315053,,
531,,14735361,,33128943,11472274,35015463,,33311577,,
532,,14671039,,33122392,11450507,35015837,,33308177,,
533,,14601482,,33122391,11449877,35015742,,33307298,,
534,,14592444,,33121423,11443197,35015214,,33304926,,
535,,14577612,,33118671,11436175,35014961,,33303792,,
536,,12882701,,33117388,11423506,35014695,,33299336,,
537,,12795710,,33112294,11375357,35014047,,33292335,,
538,,12739027,,33109684,11344245,35013505,,33289072,,
539,,12695558,,33102604,11342044,35013484,,33288413,,
540,,12631075,,33101780,11325808,35013420,,33288412,,
541,,12567515,,33096729,11298730,35013237,,33283836,,
542,,12546277,,33089609,11298729,35011882,,33280425,,
543,,12544832,,33087692,11283474,35011728,,33278793,,
544,,12235117,,33086850,11247371,35011465,,33278690,,
545,,12183699,,33084817,11225164,35011414,,33277819,,
546,,12137925,,33084813,11216017,35011387,,33277301,,
547,,12126463,,33074364,11213883,35011065,,33273849,,
548,,12122124,,33068689,11200947,35011044,,33271231,,
549,,12031969,,33065984,11190420,35010985,,33269512,,
550,,11932965,,33065390,11181633,35010958,,33269065,,
551,,11927384,,33060607,11092289,35010938,,33264825,,
552,,11847792,,33053556,11065346,35010780,,33264776,,
553,,11798015,,33051573,11055810,35010708,,33258006,,
554,,11775837,,33045219,11052951,35008927,,33251992,,
555,,11563854,,33044671,11031747,35008906,,33247759,,
556,,11510477,,33044005,11030470,35008854,,33245744,,
557,,11407791,,33039592,11009186,35008779,,33243221,,
558,,11350593,,33039459,10970792,35008764,,33242516,,
559,,11319840,,33032456,10947203,35008753,,33239900,,
560,,11272207,,33025970,10928230,35008624,,33239448,,
561,,11272167,,33023593,10926312,35008567,,33239410,,
562,,11053301,,33013915,10926309,35008275,,33236523,,
563,,11045666,,33013834,10914792,35008256,,33236509,,
564,,10969843,,33007486,10877006,35008094,,33236478,,
565,,10901308,,32997288,10868864,35008072,,33234402,,
566,,10850865,,32997285,10868832,35007927,,33233425,,
567,,10704145,,32996553,10855536,35007648,,33230102,,
568,,10702418,,32993645,10820657,35006530,,33228726,,
569,,10634421,,32991960,10809183,35006328,,33224374,,
570,,10600775,,32982792,19667506,35006126,,33223841,,
571,,10515125,,32980661,10784228,35004947,,33221787,,
572,,10509875,,32979189,10720043,35004879,,33221752,,
573,,10494135,,32978698,10660944,35004041,,33217980,,
574,,10479666,,32973073,10642368,35003773,,33217178,,
575,,10409619,,32971626,10619578,35003299,,33214158,,
576,,10406008,,32967568,10601576,35003235,,33214022,,
577,,10396031,,32966542,10593129,35002984,,33213078,,
578,,10102689,,32964987,10586372,35002962,,33212505,,
579,,10097902,,32957808,10484579,35002959,,33212357,,
580,,10086321,,32956188,10450791,35002748,,33211729,,
581,,10077455,,32955210,10408228,35002636,,33210357,,
582,,10067844,,32954901,10389850,35002492,,33208408,,
583,,9930940,,32950677,10362631,35002441,,33205593,,
584,,9928426,,32948647,10332686,35001410,,33204295,,
585,,9829981,,32943041,10199157,35001338,,33202992,,
586,,9827612,,32942144,10091154,35000599,,33199414,,
587,,9714816,,32942016,9920141,35000594,,33198669,,
588,,9689119,,32941691,9843555,35000498,,33194721,,
589,,9642318,,32940719,9806767,35000222,,33191817,,
590,,9637495,,32933345,9789716,34999914,,33187480,,
591,,9630631,,32932257,9785468,34999333,,33184434,,
592,,9625357,,32931668,9781841,34999113,,33183530,,
593,,9482914,,32923490,9737813,34999047,,33181704,,
594,,9510138,,32920811,9681489,34998917,,33181273,,
595,,9492080,,32913718,9644046,34998693,,33181154,,
596,,9401828,,32913499,9586965,34998036,,33176660,,
597,,9232198,,32912502,9584493,34997592,,33168396,,
598,,9184645,,32908935,9583761,34997408,,33168393,,
599,,9588816,,32904641,9543687,34996987,,33167899,,
600,,9587587,,32902952,9503840,34996986,,33164656,,
601,,8932996,,32900696,9434801,34996930,,33163050,,
602,,8931638,,32900278,9434461,34996781,,33161879,,
603,,8886842,,32896498,9434319,34996484,,33160031,,
604,,8952619,,32894329,9419389,34996380,,33155749,,
605,,8869191,,32887674,9249535,34996091,,33152927,,
606,,8674897,,32884534,9167113,34996082,,33150715,,
607,,8675702,,32882447,9166665,34996067,,33149926,,
608,,8739912,,32881673,9145209,34995804,,33143634,,
609,,8619815,,32879783,9075429,34994287,,33141880,,
610,,8780790,,32879654,9434462,34993818,,33135477,,
611,,8562390,,32876648,9051589,34993571,,33133389,,
612,,8690167,,32874564,9211310,34992781,,33132917,,
613,,7550090,,32870741,9117089,34992395,,33129749,,
614,,8020588,,32870245,8971093,34991564,,33128721,,
615,,8152488,,32868904,8996841,34991302,,33125920,,
616,,8119136,,32868074,9138399,34991301,,33125832,,
617,,7997223,,32865040,8894500,34989743,,33122288,,
618,,7686306,,32862601,8751856,34989285,,33119194,,
619,,8484733,,32858254,8925406,34989030,,33118520,,
620,,1295630,,32856346,8666134,34988917,,33118320,,
621,,1397304,,32852613,8725857,34988903,,33117549,,
622,,1397702,,32850903,8887149,34988825,,33116707,,
623,,1612069,,32848736,8928767,34988348,,33116081,,
624,,1813279,,32848396,8880890,34987576,,33115289,,
625,,1834504,,32843584,7562555,34987478,,33115283,,
626,,1989973,,32841667,8552107,34987398,,33102509,,
627,,1649079,,32836220,7657036,34987261,,33101732,,
628,,2141661,,32833039,7629232,34987259,,33100131,,
629,,,,32829810,8529042,34987125,,33098434,,
630,,,,32829304,7769135,34987124,,33097787,,
631,,,,32829027,7762635,34986525,,33096189,,
632,,,,32826789,8614255,34986499,,33085443,,
633,,,,32825885,7859942,34986353,,33090207,,
634,,,,32822291,7627765,34986338,,33083497,,
635,,,,32821513,7608134,34986201,,33082885,,
636,,,,32818277,9704091,34985463,,33081745,,
637,,,,32818092,7791518,34985183,,33081058,,
638,,,,32816832,7989455,34985174,,33077349,,
639,,,,32816791,7729088,34984822,,33068301,,
640,,,,32814161,7867222,34984794,,33064379,,
641,,,,32813141,8071761,34984560,,33062710,,
642,,,,32812896,8200980,34984225,,33058802,,
643,,,,32811162,8177054,34984172,,33054508,,
644,,,,32804540,8141143,34984012,,33053547,,
645,,,,32797181,8112190,34983771,,33053398,,
646,,,,32796694,8052442,34983625,,33046070,,
647,,,,32791151,8046546,34983355,,33039650,,
648,,,,32788622,8415772,34983210,,33037887,,
649,,,,32788328,8145651,34983124,,33037171,,
650,,,,32787917,8131964,34982999,,33027748,,
651,,,,32786521,7687210,34982020,,33027293,,
652,,,,32786125,8082998,34981743,,33026143,,
653,,,,32784009,8421693,34981726,,33026047,,
654,,,,32783421,8360796,34981531,,33023987,,
655,,,,32783418,1488094,34981526,,33021708,,
656,,,,32781674,1443120,34981503,,33012112,,
657,,,,32776826,1382616,34981499,,33008359,,
658,,,,32774333,1279445,34981492,,32999403,,
659,,,,32774120,1539646,34981475,,32998751,,
660,,,,32772239,1538641,34981470,,32998742,,
661,,,,32768960,1490680,34981123,,32998143,,
662,,,,32764293,1345575,34980192,,32996325,,
663,,,,32745464,1337713,34979879,,32996085,,
664,,,,32740593,1295773,34978779,,32995893,,
665,,,,32738338,1872668,34977421,,32994159,,
666,,,,32735904,1717786,34976509,,32991776,,
667,,,,32735903,2010051,34976508,,32986722,,
668,,,,32732889,1906797,34976402,,32985540,,
669,,,,32729431,1851071,34976136,,32980790,,
670,,,,32728894,1802476,34975749,,32977298,,
671,,,,32727727,1701300,34975223,,32974732,,
672,,,,32727496,2134065,34975134,,32971190,,
673,,,,32723090,2148079,34974570,,32971040,,
674,,,,32722955,2167002,34974299,,32969198,,
675,,,,32722799,2143390,34974166,,32966971,,
676,,,,32720751,1968373,34973981,,32964683,,
677,,,,32715794,1690262,34973648,,32963061,,
678,,,,32712576,2239475,34973337,,32960425,,
679,,,,32711583,,34972146,,32955899,,
680,,,,32708290,,34972124,,32955768,,
681,,,,32705235,,34971391,,32955366,,
682,,,,32694640,,34970629,,32948670,,
683,,,,32693033,,34970582,,32948397,,
684,,,,32688084,,34970545,,32946821,,
685,,,,32680569,,34970515,,32938820,,
686,,,,32674735,,34970417,,32938746,,
687,,,,32674727,,34970224,,32931667,,
688,,,,32665774,,34970223,,32928746,,
689,,,,32661705,,34970150,,32923458,,
690,,,,32661238,,34969688,,32921312,,
691,,,,32659616,,34969354,,32919068,,
692,,,,32657172,,34968873,,32917052,,
693,,,,32654608,,34967935,,32912850,,
694,,,,32653096,,34967298,,32908935,,
695,,,,32650831,,34967205,,32908199,,
696,,,,32640954,,34967200,,32902577,,
697,,,,32640254,,34966388,,32901912,,
698,,,,32635750,,34966211,,32901903,,
699,,,,32635492,,34966201,,32899608,,
700,,,,32631094,,34966151,,32895144,,
701,,,,32631004,,34965646,,32888790,,
702,,,,32627000,,34965370,,32887710,,
703,,,,32626978,,34964748,,32886190,,
704,,,,32626946,,34964705,,32884031,,
705,,,,32625203,,34964440,,32883156,,
706,,,,32623429,,34961627,,32879938,,
707,,,,32622012,,34961464,,32877652,,
708,,,,32619172,,34961417,,32875989,,
709,,,,32616867,,34960104,,32866995,,
710,,,,32613556,,34960064,,32866540,,
711,,,,32602814,,34960047,,32864910,,
712,,,,32602547,,34960025,,32862755,,
713,,,,32600435,,34960022,,32862232,,
714,,,,32598925,,34959996,,32856800,,
715,,,,32595096,,34959932,,32855824,,
716,,,,32593830,,34959870,,32846191,,
717,,,,32591734,,34959828,,32845571,,
718,,,,32590005,,34959760,,32844790,,
719,,,,32589498,,34959746,,32843569,,
720,,,,32585189,,34959419,,32839405,,
721,,,,32584384,,34959394,,32836004,,
722,,,,32578587,,34959363,,32833935,,
723,,,,32577714,,34959250,,32831162,,
724,,,,32573116,,34959126,,32827692,,
725,,,,32567025,,34958683,,32827591,,
726,,,,32564022,,34957934,,32821489,,
727,,,,32559663,,34957857,,32819303,,
728,,,,32554039,,34957519,,32815641,,
729,,,,32547010,,34957493,,32815104,,
730,,,,32539744,,34957476,,32811874,,
731,,,,32531327,,34957200,,32803900,,
732,,,,32529845,,34957094,,32803882,,
733,,,,32525972,,34956580,,32802891,,
734,,,,32518264,,34956527,,32802494,,
735,,,,32513257,,34956455,,32798471,,
736,,,,32512056,,34956095,,32795256,,
737,,,,32507032,,34956089,,32792565,,
738,,,,32505856,,34955862,,32788282,,
739,,,,32504834,,34955306,,32783254,,
740,,,,32504826,,34955004,,32782774,,
741,,,,32504038,,34954856,,32781868,,
742,,,,32502517,,34954531,,32777157,,
743,,,,32497630,,34954485,,32776785,,
744,,,,32496978,,34953916,,32775824,,
745,,,,32496693,,34953068,,32770527,,
746,,,,32493065,,34952888,,32765046,,
747,,,,32491361,,34952840,,32752179,,
748,,,,32492069,,34952629,,32751643,,
749,,,,32488606,,34952579,,32749580,,
750,,,,32488445,,34951928,,32748608,,
751,,,,32485785,,34951678,,32746907,,
752,,,,32485637,,34951369,,32744354,,
753,,,,32484502,,34951366,,32736957,,
754,,,,32484226,,34951149,,32736891,,
755,,,,32482028,,34950996,,32734525,,
756,,,,32473741,,34950964,,32734506,,
757,,,,32473205,,34950104,,32732288,,
758,,,,32473079,,34949756,,32728893,,
759,,,,32472420,,34949290,,32727401,,
760,,,,32472172,,34949164,,32723296,,
761,,,,32464323,,34948468,,32722394,,
762,,,,32461484,,34948369,,32722370,,
763,,,,32460600,,34948265,,32721227,,
764,,,,32455604,,34947993,,32718214,,
765,,,,32454504,,34947937,,32714992,,
766,,,,32453512,,34946771,,32708046,,
767,,,,32453069,,34945773,,32707221,,
768,,,,32452251,,34945244,,32701116,,
769,,,,32446842,,34945126,,32698776,,
770,,,,32445922,,34945075,,32694216,,
771,,,,32442586,,34945016,,32685560,,
772,,,,32434772,,34944682,,32685522,,
773,,,,32433566,,34944536,,32682403,,
774,,,,32429696,,34944525,,32677311,,
775,,,,32429690,,34944478,,32676482,,
776,,,,32429094,,34944092,,32671918,,
777,,,,32428597,,34943978,,32669954,,
778,,,,32427087,,34943951,,32665314,,
779,,,,32425976,,34943836,,32664896,,
780,,,,32424527,,34943716,,32663832,,
781,,,,32423083,,34943350,,32663799,,
782,,,,32421255,,34943248,,32662605,,
783,,,,32417374,,34943221,,32662297,,
784,,,,32415508,,34942949,,32662255,,
785,,,,32411136,,34942529,,32662254,,
786,,,,32407725,,34942154,,32661111,,
787,,,,32404351,,34941464,,32660971,,
788,,,,32402554,,34941042,,32660469,,
789,,,,32399050,,34941035,,32659991,,
790,,,,32398852,,34940595,,32657529,,
791,,,,32397788,,34940565,,32655044,,
792,,,,32393053,,34940563,,32653382,,
793,,,,32387619,,34940547,,32649633,,
794,,,,32385771,,34940355,,32647049,,
795,,,,32384753,,34939558,,32646765,,
796,,,,32384406,,34939546,,32644314,,
797,,,,32383527,,34939534,,32643269,,
798,,,,32367734,,34939442,,32641227,,
799,,,,32366079,,34938667,,32640726,,
800,,,,32362552,,34938542,,32631266,,
801,,,,32361904,,34938295,,32623690,,
802,,,,32361867,,34938272,,32619949,,
803,,,,32361803,,34938192,,32618386,,
804,,,,32361681,,34938090,,32614772,,
805,,,,32358022,,34938041,,32612375,,
806,,,,32357914,,34937641,,32609422,,
807,,,,32351973,,34937562,,32605211,,
808,,,,32350452,,34937537,,32602275,,
809,,,,32349686,,34937509,,32601398,,
810,,,,32349080,,34936987,,32600374,,
811,,,,32348539,,34936668,,32596393,,
